地名,x,y,介绍,人物
安平,290,130,现地址：河北衡水市冀州。西汉高帝置信都郡，东汉明帝改置为乐成国，安帝延光元年（122）改名为安平国。故治信都，辖境约当今河北中部安平、饶阳、深县、武强、武邑、衡水、枣强、新河、南宫、广宗等县、市地。,
渤海,293,124,现地址：河北沧州市南皮县东北。“勃”一作“渤”。汉高祖五年（前202）分巨鹿、济北郡置，以地滨渤海得名。一说文帝置，治所在浮阳（今沧县东南东关）。东汉移治南皮（今南皮东北）。三国魏同。辖境相当今河北故城、景县、东光、南皮、孟村、盐山、海兴、沧州、黄骅，天津静海，山东宁津、乐陵、庆云等地。,
博陵,280,118,现地址：河北安平、深县、饶阳、安国等县地。东汉桓帝延熹元年（公元158年）析中山郡置，献帝建安十八年（公元213年），徙赵王珪为博陵王，博陵郡为博陵国，治博陵县（今蠡县南）。曹魏时废博陵国为博陵郡。西晋置国。治所在安平（今县）。北魏改为郡，隋开皇初废。大业及唐天宝、至德时又曾改定州为博陵郡。东汉中平二年（公元185年）张牛角起义于此。,
常山,285,131,现地址：河北石家庄市元氏县。秦置恒山郡。西汉避文帝讳改为常山郡。高后及景帝、武帝时曾为国、后为郡。治所在元氏，东汉初改为国。辖境相当今河北阜平以南，赵县、正定以西，高邑、赞皇以北，山西昔阳、平定以东地区。东汉初改为国，辖境略大。三国魏复为郡。汉末农民起义领袖张飞燕、三国蜀将赵云皆为本郡人。,
高阳,295,132,现地址：河北高阳县旧城村。汉桓帝置高阳郡，治高阳。西汉初郦食其自称“高阳酒徒”，是高阳乡，在今河南，与高阳郡无关。晋治博陆（今河北蠡县南）。北魏还治高阳。隋开皇三年（583）废。,
广平,302,130,现地址：河北省鸡泽县东二十里的旧城营村。或为广平国、平干国，中国古代郡、国名。西汉分巨鹿郡而置。郡治在广平县。属冀州刺史部。东汉时并入巨鹿郡。三国魏复置。隋初废。,
河间,308,126,现地址：河北沧州市献县东南。汉郡、封国名。西汉高帝置郡，文帝二年改为封国，为郡级行政。东汉建武十三年（37）并入信都国。永和二年（90）复置，辖地同河间郡。,
巨鹿,290,138,现地址：河北邢台市平乡县。秦始皇二十五年（222）置郡。秦、西汉治所在巨鹿（今河北泽鸡东北）。建武十三年（37）省广平国以其县益郡。辖境相当今河北藳城、晋县、束鹿、宁晋、柏乡、隆尧、巨鹿、任县、平乡、南和、鸡泽、曲周、危县等地。,
清河,313,154,现地址：山东聊城市临清东北。汉高帝置郡。后屡改为国。元帝永光后为郡。治所在清阳（今河北清河东南）。东汉改为国，移治甘陵（今山东临清东北），辖境相当今山东高唐、临清、夏津、武城及德州、平原的一部分地区，今河北清河、固城及枣强、南宫部分地区。,
魏郡,296,143,现地址：河北邯郸市临漳县西南。汉高帝十二年（195）置。治所在邺县（今河北临漳西南）。辖境相当今河北大名、磁县、涉县、武安、临漳、肥乡、魏县、丘县、成安、广平、馆陶，河南滑县、浚县、内黄及山东冠县等县地。三国时辖境缩小。,
信都,306,127,现地址：河北衡水市冀县。汉高帝置国。治所在信都（今冀县）。景帝时曾改为广川国，又曾改置信都郡，宣帝时复为信都国。东汉明帝永平十五年（72）改为乐成国。三国魏时为安平郡，治所在信都（今冀县），辖境相当今河北安平、饶阳、武强、深县、武邑、衡水、枣强、冀县、新河、南宫、广宗等地。,
阳平,303,162,现地址：山东省冠县东古城镇。曹魏黄初二年（221年）分魏郡置阳平郡，治所在馆陶城，下辖馆陶县、发干县。先后属冀州、司州、相州。北周灭北齐，以相州阳平郡设置屯州。隋朝成立，屯州管辖阳平郡馆陶县、清渊县。开皇三年废阳平郡入屯州。大业元年（605年）废屯州并入魏州。,
章武,296,147,现地址：河北廊坊市大城县。三国魏分河间、渤海两郡置。治所在东平舒（今河北大城）。辖境相当今河北大清河、海河以南，文安、大城以东，沧州市、海兴以北之地。杜恕犯死罪，因父杜畿功高得免庶人，遂徙此地著书立说。,
赵国,315,140,现地址：河北邯郸市西南。汉高帝四年改邯郸郡置赵国。治所在邯郸（今邯郸西南）。辖境相当今河北邯郸、邢台、沙河等市、县和隆尧、永年二县西部地区。建安中改为赵郡。三国魏太和中复为国，并移治房子（今高邑西南）。,
中山,292,153,现地址：河北保定市定州。春秋时白狄别族所建立。又名鲜虞。战国初期建都于顾（今河北定县）。前406年被魏攻灭。不久复国，迁都灵寿（今河北平山东北）。前323年与韩、燕、宋同时称王。前314年齐宣王乘燕内乱，攻破燕国，中山也同时攻取得燕许多领土。前296年为赵所灭。西汉初，高祖刘邦以中山国故地置郡，景帝改为国，三国魏同。治所卢奴（今定县）。辖境相当今山西、河北交界的恒山以南、河北无极、深泽以北、唐县以东、清苑以西地区。,
