人名,所属,词频,关系,x,y,,,,,,,,,,,,,,,,,,,
yuanshao,4,7,0,5,50,袁绍,,,,,,,,,,,,,,,,,,
caocao,2,6,-40,348,304,曹操,官渡之战,惨败,大笑不智,进攻,仓亭之战,失败,3,1,2,2,3,1,0,-9,-6,-7,0,-7
chunyuqiong,4,1,16,377,369,淳于琼,部下,2,6,,,,,,,,,,,,,,,
gaogan,4,2,20,286,398,高干,外甥,族人,2,3,8,8,,,,,,,,,,,,
hejin,4,3,5,217,482,何进,担任掾,建议,盟友,2,2,3,5,5,7,,,,,,,,,
liuyu,4,3,-25,183,331,刘虞,拒绝,擒斩,仇恨,1,1,2,-7,-10,-9,,,,,,,,,
wenchou,4,1,8,118,178,文丑,部下,2,6,,,,,,,,,,,,,,,
xuyou,2,3,-1,81,18,许攸,建议,怀恨在心,部下,2,2,2,5,-8,6,,,,,,,,,
yanliang,4,1,8,224,100,颜良,部下,2,6,,,,,,,,,,,,,,,
yuanshu,4,3,50,282,211,袁术,同父异母,堂兄弟,族人,3,3,3,10,10,10,,,,,,,,,
zhanghe,2,2,8,356,111,张郃,名将,部下,2,2,6,6,,,,,,,,,,,,
yuantan,4,1,10,400,160,袁谭,长子,2,10,,,,,,,,,,,,,,,
yuanxi,4,1,10,432,213,袁熙,次子,2,10,,,,,,,,,,,,,,,
yuanshang,4,1,10,443,275,袁尚,三子,2,10,,,,,,,,,,,,,,,
