ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地点,地x,地y
1,2,2,2,2,2,2,3,3,1,1,2,2,2,2,1.刘备来使,曹操西征击败张鲁，取得汉中一地，并且伺机准备南征益州。刚得到益州的刘备担心曹操军的南下，与诸葛亮讨论后，便派出使者前往孙权处。,汉中,198,202
2,2,2,2,2,2,2,3,3,1,1,2,2,2,2,2.孙权北伐,该使者承诺以归还荆州一部分为条件，希望东吴发兵攻打合肥。孙权明白刘备的策略，答应趁曹操还在汉中的期间攻打合肥。,合肥,350,226
3,2,2,2,2,2,2,3,3,1,1,2,2,2,2,3.吴军渡江,公元215年，孙权率军十万渡过长江。以吕蒙与甘宁为先锋，和周泰坐镇中军。吴军先锋势如破竹，顺利攻下了宛城。,宛城,326,232
4,2,2,2,2,2,2,3,3,1,1,2,2,2,2,4.合肥围城,驻守合肥的是张辽李典乐进。收到求援后张辽前往但于事无补只好返回。,合肥,350,226
5,2,2,2,2,2,2,3,3,1,1,2,2,2,2,5.曹操计策,曹操送计：张辽李典出战，乐进守城。合肥的魏军只有七千余名。张辽决定出兵。,合肥,350,226
6,2,2,2,2,2,2,3,3,1,1,2,2,2,2,6.合肥攻防,以乐进为诱饵，和吴军遭遇后撤退。吴军包括孙权追击，此时李典与张辽现身，左右加攻吴军。,合肥,350,226
7,2,2,2,2,2,2,3,3,1,1,2,2,2,2,7.孙权飞骑,孙权见状立刻撤离，但后方桥已被破坏。孙权跃马跳到对岸。,合肥,350,226
8,2,2,2,2,2,2,3,3,1,1,2,2,2,2,8.魏有张辽,孙权无奈目睹吴军大败魏军。此战后张辽名震江东。孙权回到濡须口重整士气。,濡须口,355,232
9,2,2,2,2,2,2,3,3,1,1,2,2,2,2,9.濡须口之战,不久曹操军赶至。吴军凭着甘宁夜袭报了一箭之仇，但孙权却再度遭到包围，靠周泰浴血奋战勉强逃出险地。,濡须口,355,232
10,2,2,2,2,2,2,3,3,1,1,2,2,2,2,10.曹操就任魏王,随即孙权放弃北伐，与曹操修好。回到许都的曹操就任魏王，威势大振。另一方面，曹操的新威胁刘备正对汉中虎视眈眈。,许都,300,186
