ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地名,地x,地y
1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.曹军南征,征服荆州，击溃刘备的曹操，接着又乘船沿江顺流而下，直取江东。逃离虎口的刘备意欲结盟江东，因此派诸葛亮出使。,柴桑,303,272
2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2.战或降,然而孙权阵营内部对于战或降始终未达成一致。诸葛亮舌战群儒，终于使得孙权决心抗曹。公元208年，孙权以周瑜为大都督整军备战。,柴桑,303,272
3,2,2,0,2,2,2,3,0,2,0,2,2,2,0,3.同盟计策,曹操军坐拥数十万大军，舰船无数。若想与之为敌，就必须得天时地利。诸葛亮和周瑜不约而同选择火攻。,赤壁,288,263
4,2,2,0,2,2,2,3,0,2,0,2,2,2,0,4.苦肉计,首先让吴将黄盖假意向曹操投诚。为使曹操信以为真，周瑜特地在魏国密使面前杖责黄盖，这就是所谓的苦肉计。,赤壁,288,263
5,2,2,0,2,2,2,3,0,2,0,2,2,2,0,5.连环计,接着又让庞统献策，假意为解决魏兵不惯乘船的问题，而将船体以铁索相连。此连环计虽万事具备，却仍有一事让周瑜忧心忡忡。,赤壁,288,263
6,2,2,0,2,2,2,3,0,2,0,2,2,2,0,6.周瑜之忧,时值冬季，多为西北风，而曹操军位于吴军上风处，不利于发动火计。周瑜甚至为此忧劳成疾，恰好诸葛亮来访，保证会借来东南风。,赤壁,288,263
7,2,2,0,2,2,2,3,0,2,0,2,2,2,0,7.借东风,诸葛亮在南屏山上筑起七星坛施法借东风，到了约定之日风势逐渐转为东南，时机终于成熟了。,赤壁,288,263
8,2,2,0,2,2,2,3,0,2,0,2,2,2,0,8.发动火计,诈降的黄盖首先率领数十艘船航向魏军舰队，抵近之际下令放火，借东南风助长火势。,赤壁,288,263
9,2,2,0,2,2,2,3,0,2,0,2,2,2,0,9.火烧赤壁,曹操发觉时已然太迟，火势剧烈，吞噬了所有的舰船。火势之大几乎照亮了整个江面，魏军大乱。此时吴军杀到，魏军溃不成军。,赤壁,288,263
10,2,2,0,2,2,2,3,0,1,0,2,2,2,0,10.三分天下,曹操战败后退回北方。经此一战役，曹魏元气大伤，东吴势力更加稳固。而刘备则乘隙夺取了荆州，朝着天下迈出了第一步。,赤壁,288,263
