ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地点,地x,地y
1,2,2,2,2,2,2,3,3,3,1,2,2,2,2,1.诸葛亮南征,诸葛亮以丞相之名辅佐刘禅，在与吴军再次达成停战协议后，上奏请求南征，希望能借此平定南中一带的叛乱。,南中,147,332
2,2,2,2,2,2,2,3,3,3,1,2,2,2,2,2.攻心为上,此时，南中之地最有权力的是蛮王孟获。公元225年，进军南中的诸葛亮决定以攻心为上，让南中彻底归顺蜀汉。,南中,147,332
3,2,2,2,2,2,2,3,3,3,1,2,2,2,2,3.第一次对决,诸葛亮与孟获初次对决，命赵云将其击溃，命胃炎设伏于途中，将其生擒。但是孟获并未就此屈服，诸葛亮将其放走，给予再战的机会。,南中,147,332
4,2,2,2,2,2,2,3,3,3,1,2,2,2,2,4.第二次对决,孟获在河岸建筑土垒抵御蜀军进攻，蜀军以竹筏渡过泸水，从而击败了南中的将领，并再次生擒孟获，但孟获仍不服。,南中,147,332
5,2,2,2,2,2,2,3,3,3,1,2,2,2,2,5.第三次对决,诸葛亮先是带孟获参观阵营，再将其释放。孟获在获悉敌阵情报后，便让其弟孟优前往作降，但事情败露，兄弟两人均被俘虏。,南中,147,332
6,2,2,2,2,2,2,3,3,3,1,2,2,2,2,6.第四次对决,愤怒的孟获集结十万南中兵向蜀军发动总攻。诸葛亮佯装弃营而逃，孟获孤军深入，进入圈套，再次成为俘虏。,南中,147,332
7,2,2,2,2,2,2,3,3,3,1,2,2,2,2,7.第五次对决,屡战屡败的孟获为迎击蜀军改变策略，将其引诱至毒泉处。然而诸葛亮得到孟获之兄孟节的建议，逃过一劫，再次将孟获俘虏。,南中,147,332
8,2,2,2,2,2,2,3,3,3,1,2,2,2,2,8.第六次对决,孟获尽发其兵，连妻子祝融都发兵出征，却依然不敌而被俘，之后孟获派出大象及老虎等猛兽部队，依旧被诸葛亮所早出的喷火虎战车击溃。,南中,147,332
9,2,2,2,2,2,2,3,3,3,1,2,2,2,2,9.第七次对决,最后，孟获请来藤甲军外援，但诸葛亮火烧藤甲军，孟获第七次被擒。,南中,147,332
10,2,2,2,2,2,2,3,3,3,1,2,2,2,2,10.平定南中,孟获终于归于蜀汉。就此，南中之乱方平，蜀军凯旋归国。,南中,147,332
