ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地名,地x,地y
1,0,0,0,4,4,4,0,0,0,0,0,0,4,0,1.黄河南北,击败公孙瓒的袁绍控制了河北，成为诸侯之中的最大势力。另一方面曹操挟天子以令诸侯，势力日渐稳固。,袁绍据点：鹜,290,160
2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.得义将关羽,曹袁二人终将一战。势力占优的袁绍决意发动南征，但曹操却有条不紊地发兵击败六百，并收关羽。,下邳,334,191
3,2,2,0,4,4,4,0,0,0,0,2,2,4,0,3.白马之战,200年，袁绍和曹操终于开战。曹操大军声东击西，奇袭白马，而单枪匹马杀入敌阵的关羽顺利将颜良斩于马下。,白马,291,172
4,2,2,0,4,4,4,0,0,0,0,2,2,4,0,4.延津之战,随后，曹操又在延津以运输部队为饵诱出袁绍军，趁其抢夺物资而大乱之际将其击破。关羽再度斩杀了文丑，曹操军再下一城。,延津,288,170
5,2,2,0,4,4,4,0,0,0,0,2,2,4,0,5.过五关斩六将斩六将,关羽得知刘备的消息，决心离开曹操，过五关斩六将，却被夏侯惇拦阻。但是曹操钦佩关羽的义气，最终放他离去。,汝南,288,208
6,2,2,0,4,4,4,0,0,0,0,2,2,4,0,6.官渡之战,袁绍卷土重来，集结大军进攻官渡。处于下风的曹操智能死守官渡成，而袁绍军则在城墙四周磊土。,官渡,282,169
7,2,2,0,4,4,4,0,0,0,0,2,2,4,0,7.投石车,曹操建造投石车应对。袁绍军改变作战方式，挖地道进攻，不过因为曹操军进击挖出的堑壕而失败。,官渡,282,169
8,2,2,0,4,4,4,0,0,0,0,2,2,4,0,8.夜袭乌巢,长期对峙导致双方粮草不足，两军开始出现逃亡现象。由于袁绍军内部失和，导致幕僚许攸真钱蟠桃，并携带贵重的情报投靠曹操军。,官渡,282,169
9,2,2,0,4,4,4,0,0,0,0,2,2,4,0,9.袁绍溃败,根据情报，袁绍军粮草集结在乌巢。于是，曹操军连夜偷袭乌巢。假扮成袁绍军突破了警戒网后，顺利击破了薄弱的守备队，焚毁了袁军的所有粮草。,乌巢,290,188
10,2,2,0,4,4,4,0,0,0,0,2,2,4,0,10.称霸中原,袁绍军因为粮草不足而军心溃散，仓皇撤退。败北的袁绍渡过黄河北岸，数年后郁郁而终。至此，曹操终于坐上了中原霸主之位。,乌巢,290,188
