地名,x,y,介绍,人物
巴郡,156,263,现地址：四川重庆北嘉陵江北岸。秦于前316年并古代巴子国地后置。三国蜀汉移治今重庆市区。辖境相当今四川旺苍、西充、永川、綦江以东地区。东汉兴平元年（194）刘璋分为巴郡、永宁、固陵三郡。建安六年（201）改巴郡为巴西；改永宁为巴郡；改固陵为巴东。巴郡辖境渐小，其地相当今四川梁平、垫江以南、忠县、涪陵、南川以西、合州、永川以东、贵州桐梓、大娄山以北地区。,
巴西,163,253,现地址：四川南充市阆中。汉献帝建安六年（公元201），刘璋分巴郡置巴西郡和巴东郡，巴西郡治阆中县（四川阆中西），辖阆中、安汉、垫江、宕渠、宣汉、汉昌、南充国、西充国8县 ，属益州。,
宕渠,165,277,现地址：四川达州市渠县。东汉建安二十三年（218），刘备分巴西郡置。故治宕渠。辖境相当今四川南江、营山、渠县以东、城口、开江、大竹以西、邻水以北地区。其后屡有废置。,
广汉,168,272,现地址：四川广汉市。汉高帝六年（201）分巴、蜀二郡置。治所在乘乡（一作绳乡，今四川金堂东），东汉移治雒县（今四川广汉北）。辖境相当今甘肃文县、陕西宁强以南，四川旺苍、剑阁、蓬溪以西，潼南、遂宁、新都以北，什邡、北川以东地区。,
汉嘉,149,267,现地址：四川雅安市芦山县。三国蜀置。治所在汉嘉。（今四川名山北），辖境相当今四川峨眉山以西，贡嘎山以东以南，包括天全、名山、雅安、荥经、汉源、泸定、九龙等县地。刘备病重时，本郡守董元叛蜀被擒斩。,
汉中,168,201,现地址：陕西汉中市东。秦置。因当地河水名而置郡，为秦初三十六郡之一，郡治初设南郑（今陕西汉中），西汉初迁至西城（陕西安康市汉江北岸中渡台）。东汉建武元年至6年(25－30年)，郡治改迁南郑(在今陕西省汉中市汉台区)。东汉未年张鲁据此地时更名为“汉宁郡”，曹操取汉中后又恢复原名。西晋时划入梁州，北周时改汉中为汉川郡。,
犍为,170,270,现地址：四川眉山市彭山县。西汉建元六年置。治所在鄨县，旋移治广南，又移治僰道，再移治武阳。东汉分南境置犍为蜀国。,
建宁,197,244,现地址：湖北省十堰市房县。三国魏黄初元年（220）合房陵、上庸两郡置。治所在房陵（今房县）。辖境相当今湖北保康、南漳、房县、竹溪、竹山等县地。,
江阳,157,277,现地址：四川省泸州市。东汉建安十八年（213年）置，治所在江阳县。辖境相当今四川省泸州市一带。东晋安帝时废。,
上庸,210,252,现地址：湖北省十堰市房县。三国魏黄初元年（220）合房陵、上庸两郡置。治所在房陵（今房县）。辖境相当今湖北保康、南漳、房县、竹溪、竹山等县地。,
蜀郡,144,240,现地址：四川成都市。秦置。治所在成都（今属四川）。西汉辖境相当今四川松潘以南、北川、彭县、洪雅以西，峨边、石棉以北，邛崃山、大渡河以东以及大渡河与雅砻江之间，康定以南、冕宁以北地。以后辖境逐渐缩小，三国只辖有今四川成都附近的郫县、祟庆、邛崃等县地。,
汶山,139,273,现地址：四川茂县北。西汉武帝元鼎六年（前111），以冉駹部落之地置汶山郡，治汶江县，辖广柔等五县。,
西城,173,214,现地址：陕西省安康市。建安二十年（215年）析汉中郡置，治所在西城县（今陕西省安康市西北）。辖现约相当今陕西省石泉县至安康市间汉水流域。属荆州。三国曹魏改名魏兴郡。隋朝大业三年（607年）复改金州为西城郡，治金川县。唐朝初年，改为金州。,
新城,204,257,现地址：湖北省房县。曹魏黄初元年（220年）合房陵、上庸等郡置，治所在房陵县。辖境相当今湖北省房县、保康、南漳、竹溪、竹山等县地。其后分西部置上庸郡，辖境缩小。南朝齐改为南新城郡。梁复为新城郡。属岐州。北周改为光迁郡。,
益州,100,317,现地址：云南昆明市晋宁县东。西汉元封二年（前109）置。治所在滇池（今云南晋宁东）。辖境相当今中缅边境高黎贡山以东、云南洱海以西及姚安、元谋、东川市以南，曲靖、宜良、华宁、蒙自以西，哀牢山以北地。三国蜀汉建兴三年（225）改建宁郡。辖境缩小。迁郡治到味县（今云南省曲靖市内）。参见“建宁郡”。,
永昌,87,322,现地址：云南保山市隆阳区。古哀牢国。汉置不韦县。后汉于县置永昌郡。三国蜀于建兴三年（225），分永昌郡东部与东北一部分和建宁郡部分地区新置云南郡。永昌郡辖今云南福贡、云龙、永平、瑞丽、普洱、景洪、勐腊等十六个县、自治县和缅甸北部克钦邦等地区。故治同后汉之不韦县治。,
越巂,141,286,现地址：四川凉山彝族自治州西昌市东南。西汉元鼎六年（前111）置。治所在邛都（今四川西昌东南）辖境相当今云南丽江纳西族自治县以东、大姚以北，四川宁南、美姑以西、峨边以南的包括金沙江、雅砻江流域部分地区在内的云南北部、四川南部地区。,
牂牁,134,319,现地址：贵州安顺市南8公里的宁谷镇。西汉元鼎六年（前111）置。治所在故且兰（在今贵阳附近，一说在今贵州凯里西北）。三国蜀汉牂牁郡治且兰，故治在今贵州黄平西南约四十公里。辖境相当今贵州以贵阳为中心一带及其周围广大地区，北以大娄山为界，南达广西南丹、隆林县境，西至贵州毕节、兴义，东到施秉、雷公山一线，包括今贵州中部、广西西北一小部分地区。,
