人名,所属,词频,关系,x,y,,,,,,,,,,,,,,,,,,,
lusu,3,7,0,5,36,鲁肃,,,,,,,,,,,,,,,,,,
caocao,2,1,-8,432,390,曹操,抗,1,-5,,,,,,,,,,,,,,,
guanyu,1,2,-16,326,429,关羽,防备,单刀赴会,1,2,-6,-4,,,,,,,,,,,,
liubei,1,1,-15,226,430,刘备,找到,1,0,,,,,,,,,,,,,,,
luxun,3,1,18,148,367,陆逊,四大都督,3,8,,,,,,,,,,,,,,,
lvmeng,3,1,8,78,270,吕蒙,四大都督,3,8,,,,,,,,,,,,,,,
sunce,3,3,9,122,162,孙策,投奔,不得志,主君,1,1,2,5,-5,8,,,,,,,,,
sunquan,3,5,36,238,159,孙权,器重,赞赏,说服,主君,主持丧事,2,2,1,2,2,7,6,5,8,5,,,
yuanshu,4,1,5,341,65,袁术,仕职,1,0,,,,,,,,,,,,,,,
zhouyu,3,6,27,387,194,周瑜,相识,挚友,引荐,求援,指囷相赠,四大都督,3,3,2,1,2,3,0,8,6,7,7,8
zhugeliang,1,2,5,495,275,诸葛亮,结识,发丧,3,1,0,0,,,,,,,,,,,,
