ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地名,地x,地y
1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1.董卓之乱,西凉董卓趁乱入主朝堂独断专行，民怨沸腾。,洛阳,268,188
2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.檄文讨董,董卓暴虐之行招致群雄反感。曹操行刺董卓失败后逃逸回乡，向天下发出檄文，讨伐董卓。,陈留,312,178
3,2,2,2,2,2,2,0,0,0,0,2,0,2,0,3.反董阵营,天下诸侯纷纷响应。刘备也与关羽张飞一同前往。反董卓联合军正式形成。,,,,
4,2,2,2,2,2,2,0,0,0,0,2,0,2,0,4.直指洛阳,公元191年冬，联合军盟主袁绍率领大军直指洛阳。孙坚一马当先，率先攻到了洛阳东边的汜水关。,,,
5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5.汜水关之战,董卓则派出大将华雄前往汜水关。首战告捷的是孙坚，但由于袁术怠于补给，孙坚军反被华雄击溃。,汜水关,288,173
6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6.温酒斩华雄,华雄扑向联合军大营。紧急关头，关羽挺身而出，温酒未去，一刀斩华雄于马下。,汜水关,288,173
7,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7.反董卓联盟,董卓闻讯，便派重兵驻守要冲之地虎牢关。并派吕布前往驻扎。吕布勇武天下无双，联合军根本束手无策，就在公孙瓒即将阵亡之关头，张飞跃马出战。,虎牢关,276,183
8,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8.三英战吕布,张飞虽骁勇善战，吕布却是勇武无双。即使后来关羽加入战局，但吕布以一敌二，毫无惧色。最后关头，刘备也加入，三人围攻下吕布最终败退。,虎牢关,276,183
9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.董卓败退,吕布败退，董卓军阵脚大乱，遂率军撤回洛阳，并决定强行迁都于长安，焚毁洛阳城，裹挟着献帝及百姓们逃往长安。,长安,230,193
10,2,2,2,2,2,2,0,0,0,0,2,0,2,0,10.群雄割据,就此，联合军逼退了董卓，赢得胜利。联合军进入洛阳后，眼前一片破败，敌人不见踪影。于是各路诸侯纷纷收兵回家，割据之势再起。,洛阳,268,188
