地名,x,y,介绍,人物
陈国,322,196,现地址：河南周口市淮阳县。秦置郡。西汉改为淮阳国，东汉章和二年（88）改为陈国。辖境相当今河南淮阳、太康、西华、鹿邑、柘城等县地。献帝时又改为陈郡。三国时曾将本郡所属苦县划归谯郡。,
梁国,307,197,现地址：河南商丘市东南。汉高帝五年（前202）改砀郡为梁国。治所在雎阳（今河南商丘南）。辖境相当今河南商丘、虞城、民权和安徽砀山等市、县地。其后辖境屡变。,
鲁国,282,210,现地址：山东济宁市曲阜。前十一世纪周分封的诸侯国。姬姓。开国君主是周公旦之子伯禽，在今山东西南部，建都曲阜（今属山东）。春秋时国势衰弱，后为季孙氏、孟孙氏、叔孙氏所分。战国时成为小国，前256年为楚所灭。,孔融
沛国,319,215,现地址：安徽徐州市沛县。汉高帝刘邦改泗水郡置。治所在相县（今安徽濉溪县西北）。东汉改为国，为郡级行政单位。三国魏为王国封地。治所同今江苏沛县。辖境相当今安徽砀山、江苏丰县、沛县、山东滕州西南等地。,曹操，曹洪，曹睿，曹休，曹仁，曹植，曹彰，曹丕，夏侯威，夏侯渊，夏侯惇，夏侯玄，夏侯尚，夏侯霸，张鲁
谯郡,314,219,现地址：安徽毫州市。东晋末侨置陈留郡，北魏兼置南兖州，故治在今河南商丘县南。南朝梁改置北新安郡，属谯州。东魏改为蒙郡。北周改谯郡为亳州。隋复曰谯郡，故治在今安徽蒙城县西北三里。唐天宝元年至至德二载十二月，改亳州名谯郡。,许仪，许褚，文钦，文鸯
汝南,303,218,现地址：河南驻马店市平舆县北。汉高帝四年（公元前203）置。故治上蔡。即今河南上蔡西南。东汉移治平舆，即今河南平舆北。其后治所屡迁，辖境渐小。三国末魏移治新息，即今河南息县。辖境相当今河南颍河、淮河之间，京广铁路西侧一线以东，安徽茨河、西淝河以西、淮河以北地区。,袁熙，袁术，袁尚，袁绍，袁谭，许劭，许靖，吕蒙
汝阴,304,210,现地址：安徽阜阳市。三国魏景初二年（238）置。故治汝阴。西晋辖境相当今安徽颍河流域以西和河南新蔡、淮滨等县地。其后渐小。,
阳安,298,201,现地址：河南驻马店市确山县西南。东汉建安三年（198）分汝南郡置。治所在朗陵（今河南确山西南），不久废。,
弋阳,295,207,现地址：江西东北部弋阳县。文帝黄初元年（220年）分汝南、江夏2郡地置弋阳郡，郡治弋阳县（河南潢川县），辖弋阳、期思、轪和西阳4县，隶豫州。,
颍川,320,200,现地址：河南许昌市禹州。秦王政十七年（前230）置。以颍水得名。治所在阳翟（今禹县）。辖境相当今河南登封，宝丰以东，尉氏、郾城以西，密县以南，叶县、舞阳以北县地。其后治所屡有迁移，辖境渐小。曹操势力起于本郡。,郭嘉，郭图，荀彧，荀攸，钟会，钟繇，徐庶，辛毗，赵俨，陈泰
