ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地点,地x,地y
1,2,2,2,2,2,2,3,3,3,1,2,2,2,2,1.孙权的继任者,吴国内部因孙权继任者一事争斗不休，长子孙登去世，次子孙和继太子，不久被废黜。,建业,,
2,2,2,2,2,2,2,3,3,3,1,2,2,2,2,2.第二代孙亮,公元252年，孙亮继承孙权之位。由于年纪尚小，由诸葛瑾之子诸葛恪辅佐。,建业,,
3,2,2,2,2,2,2,3,3,3,1,2,2,2,2,3.孙峻抬头,诸葛恪不久被孙峻以皇命伐之，孙峻担任辅佐大臣，掌握实权。,建业,,
4,2,2,2,2,2,2,3,3,3,1,2,2,2,2,4.第三代孙休,孙峻死后，孙綝辅佐孙亮，孙綝专横独断，孙亮想除去他。但因事情败露而被废黜。孙休继承帝位。,建业,,
5,2,2,2,2,2,2,3,3,3,1,2,2,2,2,5.孙休诛杀孙綝,孙綝因拥立孙休之功而愈发乖张，极尽专横之能事。以至于孙休也无法忍受，摆下鸿门宴，以谋反为捕杀孙綝。,建业,,
6,5,5,5,5,5,5,3,3,3,5,5,5,5,5,6.孙休病倒,蜀国灭亡之后，在内忧不断的吴国内部，孙休开始筹备对付魏国，忧虑过度病倒。,建业,,
7,5,5,5,5,5,5,3,3,3,5,5,5,5,5,7.第四代孙皓,孙休病死后，孙和之子孙皓继位。孙皓才华过人，但十分残暴。,建业,,
8,5,5,5,5,5,5,3,3,3,5,5,5,5,5,8.吴国衰弱,孙皓不听劝谏，屠杀大臣，导致朝臣离心。陆抗孙能撑住防线，却无奈朝廷腐败。,建业,,
9,5,5,5,5,5,5,3,3,3,5,5,5,5,5,9.晋军伐吴,听闻孙皓昏庸的消息后，晋国等待时机。司马炎渡江南征，进军吴国首都建业。,建业,,
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10.三国一统,吴军不战而降。孙皓也投降。公元280年，吴国灭亡，天下为晋统一。三国时代就此落幕。,洛阳,,
