ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地点,地x,地y
1,2,2,2,2,2,2,3,3,3,1,2,2,2,2,1.北伐之后,诸葛亮的逝世导致蜀军暂停北伐。刘禅将诸葛亮葬于定军山。由于常年劳师远征，蜀国早已疲敝不堪，遂专心国政。,定军山,,
2,2,2,2,2,2,2,3,3,3,1,2,2,2,2,2.后继姜维,姜维继承诸葛亮一直等待时机。此时魏国由司马懿掌握大权，而曹家的夏侯霸正欲投靠蜀国。姜维以魏国政局不安为由，上奏请求北征。,洛阳,,
3,2,2,2,2,2,2,3,3,3,1,2,2,2,2,3.姜维北伐,尚书令费祎以姜维之才智不及诸葛亮为由而进谏劝阻北伐。但刘禅却力主北伐。姜维使与夏侯霸一同发兵出征，开始了新的北伐。,成都,,
4,2,2,2,2,2,2,3,3,3,1,2,2,2,2,4.一进一退,姜维师从诸葛亮，但无奈遭遇魏国名将邓艾的阻挡，战事胶着，进展缓慢导致士气下降。,成都,,
5,2,2,2,2,2,2,3,3,3,1,2,2,2,2,5.蜀国内患,刘禅宠信奸臣，数次召回在前线作战的姜维。此外，蜀国内部也有人批判北伐导致民不聊生。,成都,,
6,2,2,2,2,2,2,3,3,3,1,2,2,2,2,6.魏军伐蜀,另一方面，司马昭听闻刘禅昏庸，疏于国事。随即出兵入川伐蜀。姜维上奏请援却得不到刘禅同意。汉中为钟会攻陷。,汉中,,
7,2,2,2,2,2,2,3,3,3,1,2,2,2,2,7.成都危机,姜维不得已撤往剑阁，整军以待钟会大军。而邓艾则趁机绕道西侧小路逼近防御薄弱的成都。,剑阁,,
8,2,2,2,2,2,2,3,3,3,2,2,2,2,2,8.后主降魏,蜀军命诸葛瞻率军出征。诸葛瞻与长子诸葛尚一同上阵战死。刘禅无奈投降。,成都,,
9,2,2,2,2,2,2,3,3,3,2,2,2,2,2,9.姜维降钟会,姜维在剑阁听闻刘禅投降，也向钟会投降。又与钟会联手谋划西蜀独立。,剑阁,,
10,2,2,2,2,2,2,3,3,3,2,2,2,2,2,10.蜀国灭亡,然而，由于钟会举事不密，遭致败露，致使姜维与钟会两人一同为魏军所讨。公元263年，蜀国亡于刘禅。,成都,,
