ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地名,地x,地y
1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.英雄明暗,击败袁绍后，曹操积极讨伐袁绍势力，意欲统一北方。另一方面，至今四处漂泊的刘备前往投奔荆州同族刘表，而被任命守备新野。,,,
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.三顾茅庐,在刘表的庇护下，刘备暂得平安，却因壮志未酬而嗟叹。但不久后，刘备遇到了转机。被称为卧龙先生的贤者诸葛亮接受了三顾茅庐，被刘备迎来做了军师。,,,
3,2,2,0,2,2,2,0,0,0,0,2,2,2,0,3.三分大计,诸葛亮对刘备提出先取荆州以及益州两地，并联吴抗曹的三分天下之计。而此时曹操统一北方之后，正踌躇满志意图一统天下。,,,
4,2,2,0,2,2,2,0,0,2,0,2,2,2,0,4.刘备困顿,公元208年，刘表病逝。一番争斗之后，次子刘琮继承荆州。但是迫于曹操的强大势力，刘琮很快选择归附，位于樊城的刘备处境日渐孤立。,樊城,271,217
5,2,2,0,2,2,2,0,0,2,0,2,2,2,0,5.仓皇出逃,曹操大军逼近。眼见情势不妙，刘备南下前往物质丰富的江陵。荆州军民因仰慕刘备而一路跟随，其势有十万人以上。,江陵,278,241
6,2,2,0,2,2,2,0,0,2,0,2,2,2,0,6.曹军追击,因带着平民百姓，刘备军行速度相当缓慢。而曹操军五千骑兵紧随其后，眼看就要逼近。最后，在临近当阳长坂坡时，终于追上了刘备军。,长坂,270,248
7,2,2,0,2,2,2,0,0,2,0,2,2,2,0,7.单骑冲阵,刘备军当即溃散，乱军之中刘备之妻也不知所踪。此时赵云奋勇突围，独身七进七出，救出刘备的嫡子阿斗。,长坂,270,248
8,2,2,0,2,2,2,0,0,2,0,2,2,2,0,8.张飞拦阻,同时，张飞负责为刘备殿后，来到长板桥的张飞独自大喝一声，吓退曹操军，并乘机破坏桥梁后撤离。,长坂,270,248
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.逃出虎口,最后，关羽率军阻挡曹操军追击，曹操军也因此撤退。刘备一行人逃出险境，与舰队会合后向夏口进军。,夏口,300,238
10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10.大战征兆,主政江东的正是孙权。其父孙坚殒命之后，奠定江东基业的孙策也英年早逝，因此由孙权继承大业。于是，刘备决定将命运寄予孙权身上。,,,
