地名,x,y,介绍,人物
定襄,269,125,现地址：山西朔州市右玉县南。西汉分云中郡置，故治成乐，辖境相当于今内蒙古长城以北的卓姿、和林格尔几清水河一带。东汉建安二十年（215）废郡置县。,
上党,272,115,现地址：山西长治市。战国韩置。秦、西汉、东汉前期治长子，即今山西长子西南。东汉后期移治壶关，即今山西长治北古驿。东汉和帝时辖有沽县、涅县、谷远、陭氏、阳阿、高都、泫氏、长子、屯留、壶关、潞县、襄垣、铜鞮、共十三县。相当今山西和顺、榆社以南、沁水流域以东地区。,浩周
上郡,261,165,现地址：陕西榆林市南三十公里。秦置，故治肤施。辖境相当今陕北大部、内蒙乌审、东胜等县、旗地。两汉所辖区域有所变动。东汉后废。,
朔方,253,127,现地址：内蒙古巴彦淖尔市磴口县北。西汉元朔二年（前127）置。治所在朔方（今内蒙杭锦旗北），辖境相当今内蒙古河套西北部及后套地区。东汉移治临戎（今磴口北）。末年废。三国魏青龙三年（235）复置。东汉时匈奴南单于分部众屯此，助汉守边。,
太原,275,141,现地址：山西太原市南。周并州之域，初为唐国，后更置晋国。战国秦庄襄王四年（前246）置郡。治晋阳，故治在今三系太原市西南三十公里古城营西古城。西汉文帝改为国，不久复为郡。东汉承其制，其辖境相当今山西五台山和管涔山以南、霍山以北，吕梁山以东，包括太原、介休、汾阳、静乐、定襄、五台、孟县等十余市。,王允，温恢，郝昭，郭淮
五原,255,116,现地址：内蒙古包头市西北二十公里。汉改秦九原郡置。治所在九原，辖境相当今内蒙河套地区东半部，包括今包头、达拉特、山西偏关以西等市、旗所辖地区。三国时其地属拓跋鲜卑。因东汉初匈奴南单于分部众屯此，末年郡已废。,李肃，吕布
西河,267,120,现地址：山西吕梁市离石区。汉置。本金城郡。王莽使羌献鲜水海允谷盐池。故改金城为西海郡。治所在龙夷，即今青海海晏。辖境相当今青海东境、即今青海湖（三国时名西海）以东、甘肃兰州以西、天祝以南地区。新莽末废。三国魏承东汉以其境内今大通河为界，分为东、西两郡：东为西平郡，西为金城郡。并同东汉在居延泽周围复置西海郡。治所在居延（今内蒙古额济纳旗东南）。辖境约当今居延海附近一带。,
新兴,256,118,现地址：山西忻州市忻县。东汉建安二十年(215)置。治所在九原(今忻县)。三国时辖境相当今山西五台山以南、云中山以东，忻县、盂县以北地区。,
雁门,267,130,现地址：山西忻州市代县西北。战国时赵武灵王置，秦时治所在善无，今山西旧代州宁武之北部、及朔平南部、大同东部北部皆其境，汉亦为雁门郡治善无，在今山西右玉县南，汉时郡辖：善无、沃阳、中陵、阴馆、楼烦、武州、剧阳、崞、平城、埒、马邑，疆阴等县。后汉移郡治阴馆，在今山西代县西北，三国魏移治广武，在今代县西十五里，后魏移治古上馆城，即今代县治，隋开皇初废郡为代州，大业初复置。唐时多次废置，宋时称代州雁门郡，金时废郡。,张虎
云中,251,136,现地址：内蒙古呼和浩特市托克托县东北。战国赵武灵王置。秦代治所在云中（今内蒙古托克托东北）。辖境相当今土默持右旗以东，大青山以南，卓资县以西黄河南岸及长城以北。西汉辖境缩小，东汉末废。,
