人名,所属,词频,关系,x,y,,,,,,,,,,,,,
machao,1,5,0,1,39,马超,,,,,,,,,,,,
caocao,2,4,-1,527,438,曹操,召,不接受,离间计,大败,2,1,2,2,3,-6,-9,-10
hansui,4,3,-5,365,474,韩遂,反曹,义兄弟,内讧,3,3,3,0,10,-8,,,
liubei,1,2,19,255,429,刘备,投降,主君,1,2,-5,8,,,,,,
madai,1,1,29,190,374,马岱,堂弟,2,10,,,,,,,,,
mateng,4,1,39,163,305,马腾,父亲,2,10,,,,,,,,,
pangde,2,1,16,119,231,庞德,部下,1,4,,,,,,,,,
zhangfei,1,2,14,165,148,张飞,同僚,蜀军五虎将,3,3,8,8,,,,,,
zhanglu,4,3,-3,240,30,张鲁,投奔,不信任,不合,1,2,3,4,-7,-8,,,
zhaoyun,1,1,8,357,98,赵云,蜀军五虎将,3,8,,,,,,,,,
guanyu,1,1,8,441,168,关羽,蜀军五虎将,3,8,,,,,,,,,
gaogan,4,1,-8,473,275,高干,讨伐,1,-8,,,,,,,,,
