地名,x,y,介绍,人物
苍梧,221,375,现地址：广西梧州市。西汉元鼎六年（前111）置。治所在广信。东汉辖境相当今广西荔浦、金秀、平南以东，湖南江水、江华以南，广东信宜、广西岑西以北，广东肇庆以西地区。,
桂林,254,376,现地址：广西壮族自治区象州、柳州一带。三国末期，吴末帝孙皓于凤凰三年（274年），分郁林郡潭中县、中留县、桂林县及武安县置桂林郡，治所设于武安县，六朝皆沿袭旧制。,
合浦,267,381,现地址：广西北海市合浦县东北。西汉元鼎六年（前111）置，治徐闻，即今广东徐闻南。东汉时移治合浦，辖境相当于今开平、阳江以西、亲兴、信宜与广西容县、横县、十万大山以南至海，包括雷州半岛在内的广大地区。,
交趾,171,418,现地址：越南河内东北。汉武帝所置十三刺史部之一。交趾，一作交阯，先秦泛指五岭以南地区。前111年归汉，辖境相当今越南北部诸省。,
九真,167,405,现地址：越南清化省清化市西北十余里。西汉置，故治胥浦。辖境相当于今越南清化、河静两省及义东省东部地区。东汉同。,
临贺,210,342,现地址：广西贺州市。包括今广西壮族自治区贺州、富川、钟山，湖南省江华、江永。三国东吴黄武五年（226年）分苍梧郡设置临贺郡，治所在临贺县。晋成帝时改属荆州。刘宋元嘉二十九年（452年），属于广州，次年改属湘州。宋明帝时改为临庆国。南齐恢复临贺郡。隋朝开皇九年（589年）改为贺州。唐朝天宝、至德年间一度改贺州为临贺郡。,
南海,290,366,现地址：广东广州市。南海，所指地域因时而异。先秦古籍或以为南方各族居地泛称，或有实际的海域可指。始皇三十三年（前214）置南海郡，其辖区地临南海。秦、汉之际地入南越国汉元鼎六年（前111）灭南越国后复为郡。,
日南,174,428,现地址：越南广冶省广冶河与甘露河合流处。西汉元鼎六年（前111）置。故治西卷，在今越南广治省广治河与甘露河合流处。三国吴治朱吾，同今越南广平美丽县治。辖境约当今越南中部北起横山、南抵大岭地区。,
新昌,176,440,现地址：越南境。三国时东吴设置的郡，隋朝时废。,
郁林,182,378,现地址：广西贵港市桂平西南。秦始皇三十三年（公元前214）置。辖境约当今广西都阳山、大明山以东，九万大山、越城蛉以南地区及广东肇庆市至茂名市一带。汉武帝改置郁林郡。,
朱崖,185,455,"现地址：雷州半岛徐闻县西。孙吴时设置，治徐闻，海南,汉朱崖、儋耳也。武帝平南粤,遣使自徐闻(今雷州徐闻县)渡海略地,置朱崖、儋耳二郡。昭帝省儋耳,并为朱崖郡。元帝从贾捐之议,罢朱崖。至梁、隋,复置。唐贞观元年,析为崖、儋、振三州,隶岭南道。",
