ID,豫州,兖州,凉州,并州,幽州,青州,扬州,交州,荆州,益州,徐州,司隶,冀州,雍州,标题,内容,地名,地x,地y
1,0,2,2,2,2,2,0,0,0,0,2,0,2,2,1.攻占西凉,赤壁战败后，曹操一方面防范孙权。另一方面整顿西方。先用计捕杀了西凉马腾，又在潼关击败其子马超。,潼关,238,176
2,0,2,2,2,2,2,0,0,0,2,2,0,2,2,2.益州派使,出于对曹操的恐惧，汉中的张鲁决定抢先夺取益州。闻此消息，益州牧刘璋甚为焦虑。对此张松向刘璋请求出使曹操。,汉中,204,213
3,0,2,2,2,2,2,0,0,0,0,2,0,2,2,3.张松对曹操失望,面对傲慢的曹操，原本想将益州奉送的张松也因此改变主意。话不投机便被曹操轰了出去。,曹操的势力圈,262,168
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.张松出使刘备,于是张松选择前去拜访刘备，受到的上宾般礼遇，这使张松十分感动，便对其直言：刘备如此仁义，足以接掌益州。他希望把益州托付给刘备。,刘备的势力圈,261,282
5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5.刘备进川,回到益州后，张松建议刘璋请刘备入川相助。刘璋也认为同族的刘备足以信赖，欣然同意。在与刘璋会面后，刘备接受讨伐张鲁的请求，赶赴蒹葭关。,葭萌关,176,212
6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6.益州之主,刘璋性格怯懦使得张松等家臣们欲另觅名君。而在刘备阵营中，也有人力主夺取益州，以实现三分天下之计。,葭萌关,176,212
7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7.刘备的决断,刘备认为此事不符义理，一再拒绝。但是，后来却由于刘璋拖延刘备的援助请求而使得双方决裂，刘备终于决定挥军进攻成都。,成都,146,222
8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8.凤雏殒命落凤坡,负责指挥进攻成都的是军师庞统。攻陷了沛水关之后，在进军成都的防卫据点雒城时，庞统因交换坐骑而被误认为是刘备，因此遭伏击殒命。,雒城,160,220
9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9.得锦马超，兵临成都,此后，诸葛亮与张飞闻讯驰援雒城。之后再葭萌关遭遇作客于张鲁处的马超狙击，但诸葛亮计收马超，将其纳入麾下。,葭萌关,176,212
10,2,2,2,2,2,2,3,3,1,1,2,2,2,2,10.三足鼎立,深陷重围加上马超背离，刘璋只得开城投降。公元214年，刘备占领了蜀地。刘备虽失去庞统却入主益州。至此，三分之势已成。,成都,146,222
